"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1797,"2013-06-01 00:45:17","2013-06-01 01:15:14",295,"Pike St & E Broadway",40.71406667,-73.99293911,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,15105,"Customer",NULL,0
2347,"2013-06-01 00:45:44","2013-06-01 01:24:51",420,"Clermont Ave & Lafayette Ave",40.68764484,-73.96968902,399,"Lafayette Ave & St James Pl",40.68851534,-73.9647628,18572,"Subscriber",1996,1
244,"2013-06-01 00:41:57","2013-06-01 00:46:01",492,"W 33 St & 7 Ave",40.75019995,-73.99093085,459,"W 20 St & 11 Ave",40.746745,-74.007756,15070,"Subscriber",1973,1
450,"2013-06-01 00:47:01","2013-06-01 00:54:31",410,"Suffolk St & Stanton St",40.72066442,-73.98517977,355,"Bayard St & Baxter St",40.71602118,-73.99974372,15097,"Customer",NULL,0
75,"2013-06-01 00:47:09","2013-06-01 00:48:24",481,"S 3 St & Bedford Ave",40.71260486,-73.96264403,481,"S 3 St & Bedford Ave",40.71260486,-73.96264403,15148,"Subscriber",1988,1
684,"2013-06-01 00:47:40","2013-06-01 00:59:04",303,"Mercer St & Spring St",40.72362738,-73.99949601,375,"Mercer St & Bleecker St S",40.72679454,-73.99695094,15889,"Customer",NULL,0
480,"2013-06-01 00:47:45","2013-06-01 00:55:45",528,"2 Ave & E 31 St",40.74290902,-73.97706058,461,"E 20 St & 2 Ave",40.73587678,-73.98205027,14987,"Subscriber",1965,2
472,"2013-06-01 00:47:51","2013-06-01 00:55:43",528,"2 Ave & E 31 St",40.74290902,-73.97706058,NULL,NULL,NULL,NULL,16257,"Subscriber",1965,1
878,"2013-06-01 00:47:59","2013-06-01 01:02:37",311,"Norfolk St & Broome St",40.7172274,-73.98802084,376,"John St & William St",40.70862144,-74.00722156,20341,"Subscriber",1969,1
704,"2013-06-01 00:48:09","2013-06-01 00:59:53",328,"Watts St & Greenwich St",40.72405549,-74.00965965,355,"Bayard St & Baxter St",40.71602118,-73.99974372,15243,"Subscriber",1982,1
